Name,Location,Rank,Name_2,Rank_2
,,,Middle Tennessee State Univ.,350
,,,Mississippi College,350
,,,Missouri State University,350
,,,Morgan State University (MD),350
,,,National Louis University (IL),350
,,,Northern Arizona University,350
,,,Northern Illinois University,350
,,,Northern Kentucky University,350
,,,Oakland University (MI),350
,,,Our Lady of the Lake University (TX),350
,,,Palm Beach Atlantic University (FL),350
,,,Portland State University (OR),350
,,,Roosevelt University (IL),350
,,,Southern Illinois University--Edwardsville,350
,,,Spalding University (KY),350
,,,Stephen F. Austin State University (TX),350
,,,Tennessee State University,350
,,,Texas A&M University--Commerce,350
,,,Texas A&M University--Corpus Christi,350
,,,Texas A&M Univ.--Kingsville,350
,,,Texas Southern University,350
,,,Texas State University,350
,,,Texas Wesleyan University,350
,,,Texas Woman's University,350
,,,Touro College (NY),350
,,,Trevecca Nazarene University (TN),350
,,,Trinity International University (IL),350
,,,University of Akron (OH),350
,,,University of Arkansas--Little Rock,350
,,,University of Bridgeport (CT),350
,,,University of Central Arkansas,350
,,,University of Charleston (WV),350
,,,University of Colorado--Colorado Springs,350
,,,University of Hawaii--Hilo,350
,,,University of Louisiana--Lafayette,350
,,,University of Louisiana--Monroe,350
,,,University of Mary (ND),350
,,,Univ. of Maryland--Eastern Shore,350
,,,University of Michigan--Flint,350
,,,University of Nebraska--Omaha,350
,,,University of Nevada--Las Vegas,350
,,,University of New Orleans,350
,,,University of Northern Colorado,350
,,,University of South Alabama,350
,,,Univ. of Southern Mississippi,350
,,,University of Tennessee--Chattanooga,350
,,,University of Texas--Arlington,350
,,,University of Texas--El Paso,350
,,,University of Texas--Rio Grande Valley,350
,,,University of Texas--San Antonio,350
,,,University of Texas--Tyler,350
,,,University of the Cumberlands (KY),350
,,,University of Toledo (OH),350
,,,University of West Georgia,350
,,,Univ. of Wisconsin--Milwaukee,350
,,,Valdosta State University (GA),350
,,,Washburn University (KS),350
,,,Western Kentucky University,350
,,,Wichita State University (KS),350
,,,William Woods University (MO),350
,,,Wingate University (NC),350
,,,Wright State University (OH),350
,,,University of New Haven,1000
,,,Full Sail University,1300
,,,University of Bridgeport,252
,,,Gannon University,1200
,,,"California State University, Northridge",254
,,,Troy University ,255
,,,University of Massachusetts,256
,,,University of South Alabama,257
,,,University of Louisiana at Monroe,258
,,,UMass Boston University,259
,,,miu university,1240
,,,Maharishi International University,1240
,,,University of Potomac,1422
,,,Saint Paul State University,1532
,,,University of Michigan-Flint,350
,,,XYZ University ,1000
,,,Indiana Institute of Tech,250
,,,Rowan University,194
,,,Told University,200
,,,iit chicago university,127
,,,Miami University,105
,,,Missouri State University,370
,,,Caltech university,20
,,,RPI University,900
,,,University of Cumberlands,600
,,,UD University,700
,,,"Wichita State University, Indiana Institute of...",700
,,,"Wichita State University, Indiana Institute of...",700
,,,Chatham University,800
,,,Youngstown State University,800
,,,St. Thomas University,800
,,,Tacoma Community College,900
,,,Webster University,900
